trial sun/dMass 700d/dObliquity 700e/dObliquity 
0_0_0 0.394000 0.000000 0.000000
0_0_1 0.394000 0.000000 10.000000
0_0_2 0.394000 0.000000 20.000000
0_0_3 0.394000 0.000000 30.000000
0_0_4 0.394000 0.000000 40.000000
0_0_5 0.394000 0.000000 50.000000
0_0_6 0.394000 0.000000 60.000000
0_0_7 0.394000 0.000000 70.000000
0_0_8 0.394000 0.000000 80.000000
0_0_9 0.394000 0.000000 90.000000
0_1_0 0.394000 10.000000 0.000000
0_1_1 0.394000 10.000000 10.000000
0_1_2 0.394000 10.000000 20.000000
0_1_3 0.394000 10.000000 30.000000
0_1_4 0.394000 10.000000 40.000000
0_1_5 0.394000 10.000000 50.000000
0_1_6 0.394000 10.000000 60.000000
0_1_7 0.394000 10.000000 70.000000
0_1_8 0.394000 10.000000 80.000000
0_1_9 0.394000 10.000000 90.000000
0_2_0 0.394000 20.000000 0.000000
0_2_1 0.394000 20.000000 10.000000
0_2_2 0.394000 20.000000 20.000000
0_2_3 0.394000 20.000000 30.000000
0_2_4 0.394000 20.000000 40.000000
0_2_5 0.394000 20.000000 50.000000
0_2_6 0.394000 20.000000 60.000000
0_2_7 0.394000 20.000000 70.000000
0_2_8 0.394000 20.000000 80.000000
0_2_9 0.394000 20.000000 90.000000
0_3_0 0.394000 30.000000 0.000000
0_3_1 0.394000 30.000000 10.000000
0_3_2 0.394000 30.000000 20.000000
0_3_3 0.394000 30.000000 30.000000
0_3_4 0.394000 30.000000 40.000000
0_3_5 0.394000 30.000000 50.000000
0_3_6 0.394000 30.000000 60.000000
0_3_7 0.394000 30.000000 70.000000
0_3_8 0.394000 30.000000 80.000000
0_3_9 0.394000 30.000000 90.000000
0_4_0 0.394000 40.000000 0.000000
0_4_1 0.394000 40.000000 10.000000
0_4_2 0.394000 40.000000 20.000000
0_4_3 0.394000 40.000000 30.000000
0_4_4 0.394000 40.000000 40.000000
0_4_5 0.394000 40.000000 50.000000
0_4_6 0.394000 40.000000 60.000000
0_4_7 0.394000 40.000000 70.000000
0_4_8 0.394000 40.000000 80.000000
0_4_9 0.394000 40.000000 90.000000
0_5_0 0.394000 50.000000 0.000000
0_5_1 0.394000 50.000000 10.000000
0_5_2 0.394000 50.000000 20.000000
0_5_3 0.394000 50.000000 30.000000
0_5_4 0.394000 50.000000 40.000000
0_5_5 0.394000 50.000000 50.000000
